squashfs-tools,4.3+gitrAUTOINC+9c1db6d13a,1:4.3-6,
startup-notification,0.12,0.12-5,
strace,4.18,4.21-1,
stress,1.0.4,1.0.4-3,
subversion,1.9.6,1.10.2-1,
sudo,1.8.20p2,1.8.23-2,
swig,3.0.12,3.0.12-1.2,
sysfsutils,2.1.0,2.1.0+repack-4,
sysklogd,1.5.1,,
sysprof,3.24.1,3.30.1-1,
sysstat,11.5.7,12.0.1-1,
systemd,(skipped),239-10,
systemd-boot,(skipped),,
systemd-bootchart,(skipped),233-2,
systemd-bootchart,(skipped),233-2,
systemd-compat-units,(skipped),,
systemd-machine-units,1.0,,
systemd-serialgetty,(skipped),,
systemd-systemctl-native,1.0,,
systemtap,3.1,3.3-1,
systemtap-native,3.1,,
systemtap-uprobes,3.1,,
sysvinit,2.88dsf,2.88dsf-59.10,
sysvinit-inittab,2.88dsf,,
taglib,1.11.1,1.11.1+dfsg.1-0.2,
tar,1.29,1.30+dfsg-2,
